command	category	started	total_tests	passing_tests	not_ported	pct_passing
add	Main Porcelain	yes	541	159	153	29.4
am	Main Porcelain	yes	160	21	94	13.0
archive	Main Porcelain	yes	114	42	27	37.1
bisect	Main Porcelain	yes	96	16	0	16.7
branch	Main Porcelain	yes	351	139	10	39.7
checkout	Main Porcelain	yes	436	219	11	50.2
cherry-pick	Main Porcelain	yes	189	76	6	40.3
clean	Main Porcelain	yes	87	28	0	32.6
clone	Main Porcelain	yes	425	109	196	25.5
commit	Main Porcelain	yes	377	113	76	30.0
describe	Main Porcelain	yes	59	16	0	27.0
diff	Main Porcelain	yes	1002	341	41	34.0
fetch	Main Porcelain	yes	699	69	411	9.9
format-patch	Main Porcelain	yes	229	66	0	28.7
gc	Main Porcelain	yes	50	29	0	57.9
grep	Main Porcelain	yes	260	160	12	61.4
init	Main Porcelain	yes	893	244	108	27.3
log	Main Porcelain	yes	539	164	164	30.3
merge	Main Porcelain	yes	657	238	101	36.3
mv	Main Porcelain	yes	77	40	0	52.0
notes	Main Porcelain	yes	308	86	0	27.9
pull	Main Porcelain	yes	142	25	16	17.6
push	Main Porcelain	yes	233	75	90	32.4
range-diff	Main Porcelain	yes	47	5	0	10.4
rebase	Main Porcelain	yes	558	103	146	18.5
reset	Main Porcelain	yes	119	66	11	55.1
restore	Main Porcelain	yes	40	9	0	21.8
revert	Main Porcelain	yes	20	5	0	23.8
rm	Main Porcelain	yes	97	55	0	56.5
shortlog	Main Porcelain	yes	32	7	0	21.9
show	Main Porcelain	yes	27	8	6	29.9
stash	Main Porcelain	yes	204	79	0	38.6
status	Main Porcelain	yes	474	108	39	22.9
submodule	Main Porcelain	yes	476	124	31	26.0
switch	Main Porcelain	yes	16	16	0	100.0
tag	Main Porcelain	yes	213	0	212	0.2
worktree	Main Porcelain	yes	232	46	33	20.0
annotate	Ancillary Porcelain	yes	1	0	1	0.0
blame	Ancillary Porcelain	yes	98	30	24	30.7
bundle	Ancillary Porcelain	yes	43	0	30	0.0
cherry	Ancillary Porcelain	yes	4	4	0	100.0
config	Ancillary Porcelain	yes	663	170	267	25.7
count-objects	Ancillary Porcelain	yes	7	4	0	59.2
cvsimport	Ancillary Porcelain	no	30	0	30	0.0
cvsserver	Ancillary Porcelain	no	99	0	99	0.0
diagnose	Ancillary Porcelain	yes	17	16	0	94.1
difftool	Ancillary Porcelain	yes	61	8	0	12.6
fast-export	Ancillary Porcelain	yes	89	12	72	13.5
fast-import	Ancillary Porcelain	yes	262	25	230	9.7
