file	ported	total_tests	passing	failing	status	real_pass	real_total	expect_failure
t0000-basic	yes	92	26	66	ok	18	84	8
t0001-init	yes	102	54	48	ok	54	102	0
t0002-gitfile	yes	14	14	0	ok	14	14	0
t0003-attributes	yes	55	15	40	ok	15	55	0
t0004-unwritable	yes	9	9	0	ok	9	9	0
t0005-signals	yes	5	5	0	ok	5	5	0
t0006-date	yes	0	0	0	ok	0	0	0
t0007-git-var	yes	27	27	0	ok	27	27	0
t0008-ignores	yes	0	0	0	timeout	0	0	0
t0009-git-dir-validation	yes	6	6	0	ok	6	6	0
t0010-racy-git	yes	10	10	0	ok	10	10	0
t0012-help	yes	124	15	109	ok	15	124	0
t0013-sha1dc	yes	0	0	0	ok	0	0	0
t0014-alias	yes	21	1	20	ok	1	21	0
t0017-env-helper	yes	5	5	0	ok	5	5	0
t0018-advice	yes	6	6	0	ok	6	6	0
t0019-json-writer	yes	16	1	15	ok	1	16	0
t0020-crlf	yes	36	19	17	ok	19	36	0
t0021-conversion	yes	42	18	24	ok	18	42	0
t0022-crlf-rename	yes	2	2	0	ok	2	2	0
t0023-crlf-am	yes	2	2	0	ok	2	2	0
t0024-crlf-archive	yes	3	3	0	ok	3	3	0
t0025-crlf-renormalize	yes	3	3	0	ok	3	3	0
t0026-eol-config	yes	6	6	0	ok	6	6	0
t0027-auto-crlf	yes	2600	1238	1362	ok	1238	2600	0
t0028-working-tree-encoding	yes	0	0	0	ok	0	0	0
t0029-core-unsetenvvars	yes	0	0	0	ok	0	0	0
t0030-stripspace	yes	30	30	0	ok	30	30	0
t0031-lockfile-pid	yes	7	7	0	ok	7	7	0
t0033-safe-directory	yes	22	10	12	ok	10	22	0
t0034-root-safe-directory	yes	0	0	0	ok	0	0	0
t0035-safe-bare-repository	yes	12	1	11	ok	1	12	0
t0040-parse-options	yes	94	0	94	ok	0	94	0
t0041-usage	yes	16	16	0	ok	16	16	0
t0050-filesystem	yes	13	12	1	ok	10	11	2
t0051-windows-named-pipe	yes	0	0	0	ok	0	0	0
t0052-simple-ipc	yes	0	0	0	ok	0	0	0
t0055-beyond-symlinks	yes	3	3	0	ok	3	3	0
t0056-git-C	yes	11	11	0	ok	11	11	0
t0060-path-utils	yes	219	18	201	ok	18	219	0
t0061-run-command	yes	24	3	21	ok	3	24	0
t0062-revision-walking	yes	2	2	0	ok	2	2	0
t0066-dir-iterator	yes	10	10	0	ok	10	10	0
t0067-parse_pathspec_file	yes	8	8	0	ok	8	8	0
t0068-for-each-repo	yes	5	5	0	ok	5	5	0
t0070-fundamental	yes	11	1	10	ok	1	11	0
t0071-sort	yes	1	1	0	ok	1	1	0
t0080-unit-test-output	yes	1	1	0	ok	1	1	0
t0081-find-pack	yes	4	4	0	ok	4	4	0
t0090-cache-tree	yes	22	0	22	ok	0	22	0
t0091-bugreport	yes	13	13	0	ok	13	13	0
t0092-diagnose	yes	4	4	0	ok	4	4	0
t0095-bloom	yes	11	1	10	ok	1	11	0
t0100-previous	yes	6	0	6	ok	0	6	0
t0101-at-syntax	yes	8	8	0	ok	8	8	0
t0200-gettext-basic	yes	0	0	0	ok	0	0	0
t0201-gettext-fallbacks	yes	0	0	0	ok	0	0	0
t0202-gettext-perl	yes	0	0	0	ok	0	0	0
t0203-gettext-setlocale-sanity	yes	0	0	0	ok	0	0	0
t0204-gettext-reencode-sanity	yes	0	0	0	ok	0	0	0
t0210-trace2-normal	yes	14	0	14	ok	0	14	0
